STATENAME,URL,WEBSITE,ACTIVITYESTIMATE,WEEKEND,WEEK,SEASON
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program",Sporadic,Nov-23-2019,47,2019-20
Idaho,http://flu.idaho.gov,"Influenza",Regional,Nov-23-2019,47,2019-20
Illinois,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,"Seasonal Influenza Surveillance Reports",Local Activity,Nov-23-2019,47,2019-20
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Regional,Nov-23-2019,47,2019-20
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,Nov-23-2019,47,2019-20
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,Nov-23-2019,47,2019-20
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx,"Influenza - Flu",Regional,Nov-23-2019,47,2019-20
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Widespread,Nov-23-2019,47,2019-20
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Sporadic,Nov-23-2019,47,2019-20
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,"Influenza Surveillance",Local Activity,Nov-23-2019,47,2019-20
Massachusetts,https://www.mass.gov/influenza,"Influenza Surveillance Data",Widespread,Nov-23-2019,47,2019-20
Michigan,http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html,"Influenza Activity and Surveillance",Local Activity,Nov-23-2019,47,2019-20
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,"Weekly Influenza Activity: Statistics",Local Activity,Nov-23-2019,47,2019-20
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html,"Mississippi Flu Surveillance and Influenza-Like Illness Reports",Local Activity,Nov-23-2019,47,2019-20
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,"Influenza Data & Statistical Reports ",Sporadic,Nov-23-2019,47,2019-20
Montana,http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx,"Influenza: What You Need to Know",Local Activity,Nov-23-2019,47,2019-20
Nebraska,http://dhhs.ne.gov/Pages/Flu.aspx%20,"Weekly Flu Report",Regional,Nov-23-2019,47,2019-20
Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",Widespread,Nov-23-2019,47,2019-20
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,"Influenza Control and Surveillance",Local Activity,Nov-23-2019,47,2019-20
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,"Seasonal Influenza - Surveillance",Local Activity,Nov-23-2019,47,2019-20
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,"Flu in New Mexico",Widespread,Nov-23-2019,47,2019-20
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",Regional,Nov-23-2019,47,2019-20
North Carolina,http://www.flu.nc.gov/%20,"North Carolina Influenza Update",Local Activity,Nov-23-2019,47,2019-20
North Dakota,http://www.ndflu.com/default.aspx,"Influenza",Local Activity,Nov-23-2019,47,2019-20
Ohio,http://www.flu.ohio.gov%20,"Influenza Information",Local Activity,Nov-23-2019,47,2019-20
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,"Influenza Information",Local Activity,Nov-23-2019,47,2019-20
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,"Influenza Disease Surveillance Data",Regional,Nov-23-2019,47,2019-20
Pennsylvania,https://www.health.pa.gov/topics/disease/Flu/Pages/Flu.aspx%20,"Influenza Weekly Report ",Regional,Nov-23-2019,47,2019-20
Rhode Island,http://www.health.ri.gov/data/flu/index.php,"Influenza Surveillance",Sporadic,Nov-23-2019,47,2019-20
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,"Influenza Activity and Surveillance",Widespread,Nov-23-2019,47,2019-20
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,"Influenza Information",Local Activity,Nov-23-2019,47,2019-20
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,"Influenza-Like Illness Surveillance Summary Archive",Widespread,Nov-23-2019,47,2019-20
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,"Influenza Surveillance",Widespread,Nov-23-2019,47,2019-20
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,"Seasonal Influenza Weekly Update",Local Activity,Nov-23-2019,47,2019-20
Vermont,http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance,"Flu Activity",Local Activity,Nov-23-2019,47,2019-20
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,"Virginia Weekly Influenza Activity Report",Regional,Nov-23-2019,47,2019-20
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,"Influenza Update",Regional,Nov-23-2019,47,2019-20
West Virginia,https://oeps.wv.gov/flu/pages/flu_data.aspx,"Current Influenza Surveillance",Sporadic,Nov-23-2019,47,2019-20
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/index.htm,"Tracking Influenza in Wisconsin",Local Activity,Nov-23-2019,47,2019-20
Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/,"Influenza",Sporadic,Nov-23-2019,47,2019-20
Puerto Rico,http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Pages/Influenza.aspx,"Puerto Rico Departamento de Salud",Local Activity,Nov-23-2019,47,2019-20
Virgin Islands,http://doh.vi.gov/,"Influenza",Sporadic,Nov-23-2019,47,2019-20
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Nov-30-2019,48,2019-20
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Regional,Nov-30-2019,48,2019-20
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Regional,Nov-30-2019,48,2019-20
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations",Local Activity,Nov-30-2019,48,2019-20
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)",Widespread,Nov-30-2019,48,2019-20
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance",Regional,Nov-30-2019,48,2019-20
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,"Flu Statistics",Widespread,Nov-30-2019,48,2019-20
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports",Local Activity,Nov-30-2019,48,2019-20
District of Columbia,https://dchealth.dc.gov/flu%20,"Influenza Information",Sporadic,Nov-30-2019,48,2019-20
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports",Regional,Nov-30-2019,48,2019-20
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia",Widespread,Nov-30-2019,48,2019-20
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program",Local Activity,Nov-30-2019,48,2019-20
Idaho,http://flu.idaho.gov,"Influenza",Regional,Nov-30-2019,48,2019-20
Illinois,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,"Seasonal Influenza Surveillance Reports",Local Activity,Nov-30-2019,48,2019-20
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Widespread,Nov-30-2019,48,2019-20
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,Nov-30-2019,48,2019-20
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,Nov-30-2019,48,2019-20
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx,"Influenza - Flu",Regional,Nov-30-2019,48,2019-20
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Widespread,Nov-30-2019,48,2019-20
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Local Activity,Nov-30-2019,48,2019-20
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,"Influenza Surveillance",Local Activity,Nov-30-2019,48,2019-20
Massachusetts,https://www.mass.gov/influenza,"Influenza Surveillance Data",Widespread,Nov-30-2019,48,2019-20
Michigan,http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html,"Influenza Activity and Surveillance",Local Activity,Nov-30-2019,48,2019-20
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,"Weekly Influenza Activity: Statistics",Regional,Nov-30-2019,48,2019-20
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html,"Mississippi Flu Surveillance and Influenza-Like Illness Reports",Widespread,Nov-30-2019,48,2019-20
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,"Influenza Data & Statistical Reports ",Local Activity,Nov-30-2019,48,2019-20
Montana,http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx,"Influenza: What You Need to Know",Regional,Nov-30-2019,48,2019-20
Nebraska,http://dhhs.ne.gov/Pages/Flu.aspx%20,"Weekly Flu Report",Regional,Nov-30-2019,48,2019-20
Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",Widespread,Nov-30-2019,48,2019-20
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,"Influenza Control and Surveillance",Local Activity,Nov-30-2019,48,2019-20
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,"Seasonal Influenza - Surveillance",Local Activity,Nov-30-2019,48,2019-20
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,"Flu in New Mexico",Widespread,Nov-30-2019,48,2019-20
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",Widespread,Nov-30-2019,48,2019-20
North Carolina,http://www.flu.nc.gov/%20,"North Carolina Influenza Update",Local Activity,Nov-30-2019,48,2019-20
North Dakota,http://www.ndflu.com/default.aspx,"Influenza",Local Activity,Nov-30-2019,48,2019-20
Ohio,http://www.flu.ohio.gov%20,"Influenza Information",Local Activity,Nov-30-2019,48,2019-20
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,"Influenza Information",Regional,Nov-30-2019,48,2019-20
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,"Influenza Disease Surveillance Data",Regional,Nov-30-2019,48,2019-20
Pennsylvania,https://www.health.pa.gov/topics/disease/Flu/Pages/Flu.aspx%20,"Influenza Weekly Report ",Widespread,Nov-30-2019,48,2019-20
Rhode Island,http://www.health.ri.gov/data/flu/index.php,"Influenza Surveillance",Sporadic,Nov-30-2019,48,2019-20
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,"Influenza Activity and Surveillance",Widespread,Nov-30-2019,48,2019-20
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,"Influenza Information",Local Activity,Nov-30-2019,48,2019-20
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,"Influenza-Like Illness Surveillance Summary Archive",Widespread,Nov-30-2019,48,2019-20
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,"Influenza Surveillance",Widespread,Nov-30-2019,48,2019-20
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,"Seasonal Influenza Weekly Update",Regional,Nov-30-2019,48,2019-20
Vermont,http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance,"Flu Activity",Local Activity,Nov-30-2019,48,2019-20
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,"Virginia Weekly Influenza Activity Report",Widespread,Nov-30-2019,48,2019-20
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,"Influenza Update",Regional,Nov-30-2019,48,2019-20
West Virginia,https://oeps.wv.gov/flu/pages/flu_data.aspx,"Current Influenza Surveillance",Sporadic,Nov-30-2019,48,2019-20
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/index.htm,"Tracking Influenza in Wisconsin",Regional,Nov-30-2019,48,2019-20
Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/,"Influenza",Local Activity,Nov-30-2019,48,2019-20
Puerto Rico,http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Pages/Influenza.aspx,"Puerto Rico Departamento de Salud",Regional,Nov-30-2019,48,2019-20
Virgin Islands,http://doh.vi.gov/,"Influenza",Sporadic,Nov-30-2019,48,2019-20
Michigan,http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html,"Influenza Activity and Surveillance",Regional,Dec-07-2019,49,2019-20
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,"Weekly Influenza Activity: Statistics",Regional,Dec-07-2019,49,2019-20
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html,"Mississippi Flu Surveillance and Influenza-Like Illness Reports",Regional,Dec-07-2019,49,2019-20
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,"Influenza Data & Statistical Reports ",Local Activity,Dec-07-2019,49,2019-20
Montana,http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx,"Influenza: What You Need to Know",Regional,Dec-07-2019,49,2019-20
Nebraska,http://dhhs.ne.gov/Pages/Flu.aspx%20,"Weekly Flu Report",Widespread,Dec-07-2019,49,2019-20
Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",Widespread,Dec-07-2019,49,2019-20
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,"Influenza Control and Surveillance",Local Activity,Dec-07-2019,49,2019-20
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,"Seasonal Influenza - Surveillance",Regional,Dec-07-2019,49,2019-20
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,"Flu in New Mexico",Widespread,Dec-07-2019,49,2019-20
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",Widespread,Dec-07-2019,49,2019-20
North Carolina,http://www.flu.nc.gov/%20,"North Carolina Influenza Update",Widespread,Dec-07-2019,49,2019-20
North Dakota,http://www.ndflu.com/default.aspx,"Influenza",Local Activity,Dec-07-2019,49,2019-20
Ohio,http://www.flu.ohio.gov%20,"Influenza Information",Regional,Dec-07-2019,49,2019-20
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,"Influenza Information",Regional,Dec-07-2019,49,2019-20
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,"Influenza Disease Surveillance Data",Widespread,Dec-07-2019,49,2019-20
Pennsylvania,https://www.health.pa.gov/topics/disease/Flu/Pages/Flu.aspx%20,"Influenza Weekly Report ",Widespread,Dec-07-2019,49,2019-20
Rhode Island,http://www.health.ri.gov/data/flu/index.php,"Influenza Surveillance",Regional,Dec-07-2019,49,2019-20
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,"Influenza Activity and Surveillance",Widespread,Dec-07-2019,49,2019-20
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,"Influenza Information",Local Activity,Dec-07-2019,49,2019-20
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,"Influenza-Like Illness Surveillance Summary Archive",Widespread,Dec-07-2019,49,2019-20
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,"Influenza Surveillance",Widespread,Dec-07-2019,49,2019-20
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,"Seasonal Influenza Weekly Update",Regional,Dec-07-2019,49,2019-20
Vermont,http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance,"Flu Activity",Local Activity,Dec-07-2019,49,2019-20
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,"Virginia Weekly Influenza Activity Report",Widespread,Dec-07-2019,49,2019-20
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,"Influenza Update",Widespread,Dec-07-2019,49,2019-20
West Virginia,https://oeps.wv.gov/flu/pages/flu_data.aspx,"Current Influenza Surveillance",Local Activity,Dec-07-2019,49,2019-20
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/index.htm,"Tracking Influenza in Wisconsin",Regional,Dec-07-2019,49,2019-20
Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/,"Influenza",Local Activity,Dec-07-2019,49,2019-20
Puerto Rico,http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Pages/Influenza.aspx,"Puerto Rico Departamento de Salud",Regional,Dec-07-2019,49,2019-20
Virgin Islands,http://doh.vi.gov/,"Influenza",Sporadic,Dec-07-2019,49,2019-20
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Local Activity,Dec-07-2019,49,2019-20
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,"Influenza Surveillance",Widespread,Dec-07-2019,49,2019-20
Massachusetts,https://www.mass.gov/influenza,"Influenza Surveillance Data",Widespread,Dec-07-2019,49,2019-20
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-07-2019,49,2019-20
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Dec-07-2019,49,2019-20
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Widespread,Dec-07-2019,49,2019-20
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations",Regional,Dec-07-2019,49,2019-20
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)",Widespread,Dec-07-2019,49,2019-20
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance",Regional,Dec-07-2019,49,2019-20
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,"Flu Statistics",Widespread,Dec-07-2019,49,2019-20
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports",Local Activity,Dec-07-2019,49,2019-20
District of Columbia,https://dchealth.dc.gov/flu%20,"Influenza Information",Sporadic,Dec-07-2019,49,2019-20
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports",Regional,Dec-07-2019,49,2019-20
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia",Widespread,Dec-07-2019,49,2019-20
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program",Local Activity,Dec-07-2019,49,2019-20
Idaho,http://flu.idaho.gov,"Influenza",Widespread,Dec-07-2019,49,2019-20
Illinois,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,"Seasonal Influenza Surveillance Reports",Regional,Dec-07-2019,49,2019-20
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Widespread,Dec-07-2019,49,2019-20
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,Dec-07-2019,49,2019-20
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Local Activity,Dec-07-2019,49,2019-20
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx,"Influenza - Flu",Widespread,Dec-07-2019,49,2019-20
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Widespread,Dec-07-2019,49,2019-20
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-14-2019,50,2019-20
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Widespread,Dec-14-2019,50,2019-20
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Widespread,Dec-14-2019,50,2019-20
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations",Regional,Dec-14-2019,50,2019-20
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)",Widespread,Dec-14-2019,50,2019-20
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance",Regional,Dec-14-2019,50,2019-20
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,"Flu Statistics",Widespread,Dec-14-2019,50,2019-20
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports",Widespread,Dec-14-2019,50,2019-20
District of Columbia,https://dchealth.dc.gov/flu%20,"Influenza Information",Local Activity,Dec-14-2019,50,2019-20
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports",Widespread,Dec-14-2019,50,2019-20
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia",Widespread,Dec-14-2019,50,2019-20
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program",Sporadic,Dec-14-2019,50,2019-20
Idaho,http://flu.idaho.gov,"Influenza",Widespread,Dec-14-2019,50,2019-20
Illinois,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,"Seasonal Influenza Surveillance Reports",Regional,Dec-14-2019,50,2019-20
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Widespread,Dec-14-2019,50,2019-20
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Regional,Dec-14-2019,50,2019-20
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Regional,Dec-14-2019,50,2019-20
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx,"Influenza - Flu",Widespread,Dec-14-2019,50,2019-20
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Widespread,Dec-14-2019,50,2019-20
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Regional,Dec-14-2019,50,2019-20
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,"Influenza Surveillance",Widespread,Dec-14-2019,50,2019-20
Massachusetts,https://www.mass.gov/influenza,"Influenza Surveillance Data",Widespread,Dec-14-2019,50,2019-20
Michigan,http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html,"Influenza Activity and Surveillance",Regional,Dec-14-2019,50,2019-20
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,"Weekly Influenza Activity: Statistics",Widespread,Dec-14-2019,50,2019-20
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html,"Mississippi Flu Surveillance and Influenza-Like Illness Reports",Widespread,Dec-14-2019,50,2019-20
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,"Influenza Data & Statistical Reports ",Regional,Dec-14-2019,50,2019-20
Montana,http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx,"Influenza: What You Need to Know",Widespread,Dec-14-2019,50,2019-20
Nebraska,http://dhhs.ne.gov/Pages/Flu.aspx%20,"Weekly Flu Report",Widespread,Dec-14-2019,50,2019-20
Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",Widespread,Dec-14-2019,50,2019-20
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,"Influenza Control and Surveillance",Regional,Dec-14-2019,50,2019-20
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,"Seasonal Influenza - Surveillance",Regional,Dec-14-2019,50,2019-20
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,"Flu in New Mexico",Widespread,Dec-14-2019,50,2019-20
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",Widespread,Dec-14-2019,50,2019-20
North Carolina,http://www.flu.nc.gov/%20,"North Carolina Influenza Update",Widespread,Dec-14-2019,50,2019-20
North Dakota,http://www.ndflu.com/default.aspx,"Influenza",Regional,Dec-14-2019,50,2019-20
Ohio,http://www.flu.ohio.gov%20,"Influenza Information",Widespread,Dec-14-2019,50,2019-20
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,"Influenza Information",Regional,Dec-14-2019,50,2019-20
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,"Influenza Disease Surveillance Data",Widespread,Dec-14-2019,50,2019-20
Pennsylvania,https://www.health.pa.gov/topics/disease/Flu/Pages/Flu.aspx%20,"Influenza Weekly Report ",Widespread,Dec-14-2019,50,2019-20
Rhode Island,http://www.health.ri.gov/data/flu/index.php,"Influenza Surveillance",Regional,Dec-14-2019,50,2019-20
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,"Influenza Activity and Surveillance",Widespread,Dec-14-2019,50,2019-20
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,"Influenza Information",Regional,Dec-14-2019,50,2019-20
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,"Influenza-Like Illness Surveillance Summary Archive",Widespread,Dec-14-2019,50,2019-20
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,"Influenza Surveillance",Widespread,Dec-14-2019,50,2019-20
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,"Seasonal Influenza Weekly Update",Regional,Dec-14-2019,50,2019-20
